Zip Code,City,State,Metro,County Name,Price,Earthquake Grants,Fire Grants,Flood Grants,Hurricane Grants,Mud/Landslide Grants,Other Grants,Severe Storm Grants,Tornado Grants,Earthquake Events,Fire Events,Flood Events,Hurricane Events,Mud/Landslide Events,Other Events,Severe Storm Events,Tornado Events
89117,Las Vegas,NV,Las Vegas,Clark,369900,,,44330.81,,,,5038162.82,,,,2,,,,79,
87120,Albuquerque,NM,Albuquerque,Bernalillo,227000,,,,,,,,,,,,,,,,
43230,Gahanna,OH,Columbus,Franklin,209000,,,1721692.51,1963389.54,,,11715365.26,,,,19,65,,,168,
40475,Richmond,KY,Richmond,Madison,187500,,,117981.76,158602.07,,,24847361.56,,,,5,7,,,269,
46227,Indianapolis,IN,Indianapolis,Marion,137900,,932702.19,1834879.92,9452570.93,,,16681871.83,,,4,29,42,,,239,
11236,New York,NY,New York,Kings,439500,,,,479132635.5,,,,,,,,343,,,,
91730,Rancho Cucamonga,CA,Riverside,San Bernardino,430800,,6698698.06,,,,,,,,142,,,,,,
23320,Chesapeake,VA,Virginia Beach,Chesapeake City,302450,,,,,,,,,,,,,,,,
74012,Broken Arrow,OK,Tulsa,Tulsa,198900,,,,,,,80731.12,,,,,,,,27,
90201,Bell,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,412500,,27406651.26,,,,,,,,273,,,,,,
92592,Temecula,CA,Riverside,Riverside,499900,,81803935.11,,,,,,,,268,,,,,,
32244,Jacksonville,FL,Jacksonville,Duval,150000,,,,1299333.07,,,3632921.27,,,,,64,,,118,
21117,Owings Mills,MD,Baltimore,Baltimore,266860.5,,,,,,,,,,,,,,,,
92109,San Diego,CA,San Diego,San Diego,1099950,,81483289.38,,,,,,,,208,,,,,,
60628,Chicago,IL,Chicago,Cook,62500,,,172169402.5,,,,487306063.1,,,,405,,,,935,
34787,Winter Garden,FL,Orlando,Orange,381990,1009418.48,20128437.72,9628379.37,178470717.7,,,65561584.17,,22,157,105,315,,,372,
77450,Cinco Ranch,TX,Houston,Fort Bend,286000,,,57830552.09,271555772.3,,,28110777.19,,,,387,682,,,396,
92101,San Diego,CA,San Diego,San Diego,634500,,81483289.38,,,,,,,,208,,,,,,
32822,Orlando,FL,Orlando,Orange,140000,1009418.48,5351166.91,5900087.86,178470717.7,,,1475602.49,,22,81,30,315,,,121,
30318,Atlanta,GA,Atlanta,Fulton,325000,,,1082755.35,,,,15524652.25,,,,29,,,,199,
30080,Smyrna,GA,Atlanta,Cobb,392995.5,,,,,,,44964330.49,,,,,,,,74,
07093,West New York,NJ,New York,Hudson,379000,,,,57577712.91,,,,,,,,186,,,,
60626,Chicago,IL,Chicago,Cook,179900,,,172169402.5,,,,487306063.1,,,,405,,,,935,
90004,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1297500,,27406651.26,,,,,,,,273,,,,,,
28078,Huntersville,NC,Charlotte,Mecklenburg,349900,,,,,,,,,,,,,,,,
10027,New York,NY,New York,New York,825000,,,,24625132.25,,,,,,,,442,,,,
34135,Bonita Springs,FL,Fort Myers,Lee,320000,,,1715777.67,379418.02,,,11051194.79,,,,20,21,,,142,
90706,Bellflower,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,539000,,27406651.26,,,,,,,,273,,,,,,
48103,Ann Arbor,MI,Ann Arbor,Washtenaw,375000,,,,,,,,,,,,,,,,
30062,Marietta,GA,Atlanta,Cobb,399900,,,,,,,44964330.49,,,,,,,,74,
33186,The Crossings,FL,Miami-Fort Lauderdale,Miami-Dade,305000,,,,,,,,,,,,,,,,
30052,Loganville,GA,Atlanta,Gwinnett,249900,,,29430450.44,808496.05,,,25286844.08,,,,41,45,,,238,
30041,Cumming,GA,Atlanta,Forsyth,409950,,,,,,,,,,,,,,,,
75217,Dallas,TX,Dallas-Fort Worth,Dallas,135450,,,,,,,2753419.78,,,,,,,,128,
30331,Atlanta,GA,Atlanta,Fulton,175000,,,1082755.35,,,,15524652.25,,,,29,,,,199,
11372,New York,NY,New York,Queens,399000,,,,803787716.8,,,,,,,,792,,,,
32256,Jacksonville,FL,Jacksonville,Duval,272995,,,,1299333.07,,,3632921.27,,,,,64,,,118,
34711,Clermont,FL,Orlando,Lake,275000,,14777270.81,3728291.51,,,,64085981.68,,,76,75,,,,251,
27834,Greenville,NC,Greenville,Pitt,134900,,,,13894534.37,,,358917.01,,,,,132,,,27,
92335,Fontana,CA,Riverside,San Bernardino,345000,,6698698.06,,,,,,,,142,,,,,,
23454,Virginia Beach,VA,Virginia Beach,Virginia Beach City,295000,,,,,,,,,,,,,,,,
38401,Columbia,TN,Nashville,Maury,240900,,248002.7,285296.48,,,,35726919.78,,,6,17,,,,255,
92021,El Cajon,CA,San Diego,San Diego,465000,,81483289.38,,,,,,,,208,,,,,,
48185,Westland,MI,Detroit,Wayne,139900,,,128761667,8660431.07,,,7840306.82,60042.8,,,243,80,,,116,3
93065,Simi Valley,CA,Ventura,Ventura,627450,,0,,,,,,,,15,,,,,,
91342,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,499000,,27406651.26,,,,,,,,273,,,,,,
44130,Parma Heights,OH,Cleveland,Cuyahoga,129900,,,,,,,,,,,,,,,,
95747,Roseville,CA,Sacramento,Placer,489990,,,,,,,,,,,,,,,,
32218,Jacksonville,FL,Jacksonville,Duval,208000,,,,1299333.07,,,3632921.27,,,,,64,,,118,
95123,San Jose,CA,San Jose,Santa Clara,898500,,,,,,,,,,,,,,,,
43026,Hilliard,OH,Columbus,Franklin,258450,,,1839674.27,2121991.61,,,36562726.82,,,,24,72,,,437,
20019,Washington,DC,Washington,District of Columbia,289500,,,,,,,,,,,,,,,,
22193,Woodbridge,VA,Washington,Prince William,325000,,,,,,,,,,,,,,,,
45840,Findlay,OH,Findlay,Hancock,179900,,,,5217692.2,,,2998199.09,,,,,59,,,39,
80634,Greeley,CO,Greeley,Weld,319900,,,19842180.5,,,,2532512.26,,,,55,,,,33,
02155,Medford,MA,Boston,Middlesex,549900,,,,87262075,,,29368978.73,,,,,406,,,331,
92627,Costa Mesa,CA,Los Angeles-Long Beach-Anaheim,Orange,888000,1009418.48,5351166.91,5900087.86,178470717.7,,,1475602.49,,22,81,30,315,,,121,
33311,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,198999.5,,,,,,,,,,,,,,,,
85705,Tucson,AZ,Tucson,Pima,144900,,,,,,,,,,,,,,,,
